brand,price,fuel,mileage,gearbox,year,location,url,image
BMW Seria 3 320d Advantage,82 600 PLN,Diesel,85 000 km,Automatyczna,2019,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-2-0-x-drive-bezwypadkowa-zadbana-regularnie-serwisowana-co-15-tys-ID6HuWrj.html,https://ireland.apollo.olxcdn.com/v1/files/7fqc7ckpvfl62-OTOMOTOPL/image;s=320x240
BMW X3 20d xDrive,39 000 PLN,Diesel,152 000 km,Manualna,2011,Podlesie (Lubuskie),https://www.otomoto.pl/osobowe/oferta/bmw-x3-ID6HuWIq.html,https://ireland.apollo.olxcdn.com/v1/files/e49l0opn8lrd-OTOMOTOPL/image;s=320x240
BMW Seria 1 118d Advantage,59 998 PLN,Diesel,40 000 km,Automatyczna,2020,Zielona Góra (Lubuskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-1-bezwypadkowy-100-tylko-40-tys-km-uszkodzony-silnik-ID6HuNY5.html,https://ireland.apollo.olxcdn.com/v1/files/95do3bdbsrlw1-OTOMOTOPL/image;s=320x240
BMW Seria 1 116i,38 500 PLN,Benzyna,79 638 km,Manualna,2012,Łódź (Łódzkie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-1-bmw-serii-1-f20-116i-salon-polska-bezwypadkowy-maly-przebieg-ID6HuR4d.html,https://ireland.apollo.olxcdn.com/v1/files/6szq96n7esal-OTOMOTOPL/image;s=320x240
BMW X3 xDrive20d,26 900 PLN,Diesel,207 000 km,Automatyczna,2008,Gliwice (Śląskie),https://www.otomoto.pl/osobowe/oferta/bmw-x3-xdrive-2-0-177km-xenon-ID6HuUMG.html,https://ireland.apollo.olxcdn.com/v1/files/ics2912e9zfk-OTOMOTOPL/image;s=320x240
BMW Seria 1 118i Sport Line,74 900 PLN,Benzyna,75 697 km,Automatyczna,2019,Pruszków (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-1-bmw-118i-sport-line-full-led-grazowane-serwisowane-ID6HuRCU.html,https://ireland.apollo.olxcdn.com/v1/files/silk2ye8l9v33-OTOMOTOPL/image;s=320x240
BMW X6 xDrive30d,270 000 PLN,Diesel,142 646 km,Automatyczna,2020,Czastary (Łódzkie),https://www.otomoto.pl/osobowe/oferta/bmw-x6-salon-polska-bmw-x6-xdrive30d-2020-ID6HuUyX.html,https://ireland.apollo.olxcdn.com/v1/files/8hxec887k7cn-OTOMOTOPL/image;s=320x240
BMW Seria 3,53 900 PLN,Benzyna,126 000 km,Automatyczna,2016,Iłów (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-seria-3-ID6HtyIO.html,https://ireland.apollo.olxcdn.com/v1/files/p250kheas4u82-OTOMOTOPL/image;s=320x240
BMW X1 xDrive25i M Sport sport,91 400 PLN,Benzyna,47 790 km,Automatyczna,2019,Mielec (Podkarpackie),https://www.otomoto.pl/osobowe/oferta/bmw-x1-bmw-x1-ID6HqTi8.html,https://ireland.apollo.olxcdn.com/v1/files/sad9td7wrzy12-OTOMOTOPL/image;s=320x240
BMW X5 xDrive40d,98 400 PLN,Diesel,179 000 km,Automatyczna,2015,Gdynia (Pomorskie),https://www.otomoto.pl/osobowe/oferta/bmw-x5-bmw-x5-40d-skora-hak-head-up-ID6HuU8y.html,https://ireland.apollo.olxcdn.com/v1/files/1ywnl9vtrqu22-OTOMOTOPL/image;s=320x240
BMW X2 sDrive20i,85 000 PLN,Benzyna,70 000 km,Automatyczna,2018,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/bmw-x2-bmw-x2-1998-cm-2-8-sdrive-231-km-70000-km-ID6HbZbA.html,https://ireland.apollo.olxcdn.com/v1/files/w01phk9s10f72-OTOMOTOPL/image;s=320x240
BMW Seria 1 118i,67 000 PLN,Benzyna,98 795 km,Automatyczna,2018,Wągrowiec (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-1-piekna-blekitna-bmw-s-1-ID6HaQtN.html,https://ireland.apollo.olxcdn.com/v1/files/v8eusgcza95q1-OTOMOTOPL/image;s=320x240
BMW Seria 4 430i Cabrio M Sport,199 000 PLN,Benzyna,37 000 km,Automatyczna,2021,Koszalin (Zachodniopomorskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-4-m-pakiet-pro-shadow-line-dolot-mst-lasery-bogata-opcja-ID6HuTJz.html,https://ireland.apollo.olxcdn.com/v1/files/reml8g9c0s0e2-OTOMOTOPL/image;s=320x240
BMW Seria 1 118i,28 999 PLN,Benzyna,150 000 km,Manualna,2010,Luboń (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/bmw-seria-1-118i150tkmmpakietnavishadow-line-ID6HuNTl.html,https://ireland.apollo.olxcdn.com/v1/files/hff4woubrrwe1-OTOMOTOPL/image;s=320x240
BMW M4,214 999 PLN,Benzyna,88 379 km,Automatyczna,2021,Włocławek (Kujawsko-pomorskie),https://www.otomoto.pl/osobowe/oferta/bmw-m4-pierwszy-w-lasciciel-stan-idealny-ID6HqFMm.html,https://ireland.apollo.olxcdn.com/v1/files/ghz8o520cn172-OTOMOTOPL/image;s=320x240
BMW X1 xDrive20d,69 900 PLN,Diesel,150 000 km,Automatyczna,2016,Żydowo (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/bmw-x1-bmw-x1-f48-xdrive20d-4x4-salon-polska-ID6HhoBg.html,https://ireland.apollo.olxcdn.com/v1/files/i3k2sydr65du1-OTOMOTOPL/image;s=320x240
